Fairleigh Dickinson,https://fduknights.com/roster.aspx?path=wsoc
FIU,https://fiusports.com/roster.aspx?path=wsoc
Florida,https://floridagators.com/roster.aspx?roster=450&path=
Florida Atlantic,https://fausports.com/roster.aspx?roster=198&path=wsoc
Florida Gulf Coast,https://fgcuathletics.com/roster.aspx?roster=283
Florida State,http://seminoles.com/sports/soccer/roster/olivia-bergau/
Fordham,https://fordhamsports.com/roster.aspx?roster=295&path=wsoc
Fresno State,https://gobulldogs.com/roster.aspx?roster=235&path=wsoc
Furman,http://www.furmanpaladins.com/sports/w-soccer/2018-19/roster
Gardner-Webb,https://gwusports.com/roster.aspx?roster=220&path=wsoc
George Mason,https://gomason.com/roster.aspx?roster=175&path=wsoc
George Washington,https://gwsports.com/roster.aspx?roster=217&path=wsoc
Georgetown,https://guhoyas.com/roster.aspx?rp_id=8736
Georgia,https://georgiadogs.com/roster.aspx?roster=1064&path=wsoc
Georgia Southern,https://gseagles.com/roster.aspx?roster=124&path=
Georgia State,http://www.georgiastatesports.com/SportSelect.dbml?DB_OEM_ID=12700&SPID=5657&SPSID=53542
Gonzaga,https://gozags.com/roster.aspx?roster=87&path=wsoc
Grambling State,https://gsutigers.com/roster.aspx?path=wsoc
Grand Canyon,https://gculopes.com/roster.aspx?roster=261&path=wsoc
Green Bay,https://greenbayphoenix.com/roster.aspx?roster=153&path=wsoc
Hampton,https://hamptonpirates.com/roster.aspx?roster=195&path=wsoc
Hartford,https://www.hartfordhawks.com/index.aspx?path=wsoc
Harvard,https://www.gocrimson.com/sports/wsoc/2018-19/roster
Hawaii,https://hawaiiathletics.com/roster.aspx?roster=647
High Point,https://highpointpanthers.com/roster.aspx?path=wsoc
Hofstra,http://gohofstra.com/roster.aspx?path=wsoc
Holy Cross,https://goholycross.com/SportSelect.dbml?DB_OEM_ID=33100&SPID=157214&SPSID=917339
Houston,https://uhcougars.com/roster.aspx?roster=88&path=wsoc
Houston Baptist,https://hbuhuskies.com/roster.aspx?roster=153&path=wsoc
Howard,https://hubison.com/roster.aspx?path=wsoc
Idaho,https://govandals.com/roster.aspx?roster=177&path=wsoc
Idaho State,https://isubengals.com/roster.aspx?path=wsoc
Illinois,https://fightingillini.com/roster.aspx?path=wsoc
Illinois State,https://goredbirds.com/roster.aspx?roster=259&path=wsoc
Incarnate Word,https://uiwcardinals.com/roster.aspx?roster=1227&path=wsoc
Indiana,https://iuhoosiers.com/roster.aspx?roster=406&path=
Indiana State,https://gosycamores.com/roster.aspx?roster=167&path=wsoc
Iona,https://icgaels.com/roster.aspx?path=wsoc
Iowa,https://hawkeyesports.com/roster.aspx?roster=284&path=wsoc
Iowa State,https://cyclones.com/roster.aspx?roster=573&path=wsoc
IUPUI,https://iupuijags.com/roster.aspx?roster=297&path=wsoc
Jackson State,https://www.gojsutigers.com/soccer/roster/
Jacksonville,http://judolphins.com/sports/wsoc/2018-19/roster
Jacksonville State,https://jsugamecocksports.com/archives.aspx?path=wsoc
James Madison,https://jmusports.com/roster.aspx?roster=1524&path=wsoc
Kansas,https://kuathletics.com/roster.aspx?roster=2556&path=wsoc
Kansas State,https://www.kstatesports.com/roster.aspx?roster=1248&path=wsoc
Kennesaw State,https://ksuowls.com/roster.aspx?roster=459&path=wsoc
Kent State,https://kentstatesports.com/roster.aspx?roster=411&path=wsoc
Kentucky,https://ukathletics.com/roster.aspx?roster=2137&path=wsoc
La Salle,https://goexplorers.com/roster.aspx?roster=374&path=wsoc
Lafayette,https://www.goleopards.com/roster.aspx?path=wsoc
Lamar,https://lamarcardinals.com/roster.aspx?path=wsoc
Lehigh,https://lehighsports.com/roster.aspx?roster=500&path=
Liberty,https://www.liberty.edu/flames/index.cfm?PID=36959&teamID=5
Lipscomb,http://www.lipscombsports.com/wsoccer/roster/2012-13/
Little Rock,https://lrtrojans.com/index.aspx?path=wsoc
Long Beach State,https://longbeachstate.com/roster.aspx?path=wsoc
Longwood,https://longwoodlancers.com/roster.aspx?roster=188&path=wsoc
Louisiana,https://ragincajuns.com/roster.aspx?roster=275&path=wsoc
Louisiana Tech,https://latechsports.com/roster.aspx?roster=77&path=wsoc
Louisiana-Monroe,https://ulmwarhawks.com/roster.aspx?roster=155&path=wsoc
Louisville,https://gocards.com/roster.aspx?roster=284&path=wsoc
Loyola Chicago ,https://loyolaramblers.com/roster.aspx?roster=47&path=wsoc
Loyola Maryland ,https://loyolagreyhounds.com/roster.aspx?roster=151&path=wsoc
Loyola Marymount,https://lmulions.com/roster.aspx?roster=275&path=wsoc
LSU,http://www.lsusports.net/ViewArticle.dbml?DB_OEM_ID=5200&ATCLID=211718835
Maine,https://goblackbears.com/roster.aspx?roster=154&path=wsoc
Manhattan,https://gojaspers.com/roster.aspx?roster=265&path=wsoc
Marist,https://goredfoxes.com/roster.aspx?roster=309&path=wsoc
Marquette,https://gomarquette.com/roster.aspx?roster=126&path=wsoc
Marshall,https://herdzone.com/roster.aspx?roster=178&path=wsoc
Maryland,https://umterps.com/roster.aspx?roster=199&path=wsoc
McNeese State,https://mcneesesports.com/index.aspx?path=wsoc
Memphis,https://gotigersgo.com/roster.aspx?path=wsoc
Mercer,https://mercerbears.com/roster.aspx?roster=153&path=wsoc
Miami (FL),https://hurricanesports.com/roster.aspx?roster=362&path=wsoc
Miami (OH),https://miamiredhawks.com/roster.aspx?roster=104&path=wsoc
Michigan,https://mgoblue.com/roster.aspx?roster=3584&path=wsoc
Michigan State,https://msuspartans.com/roster.aspx?roster=204&path=wsoc
Middle Tennessee,https://goblueraiders.com/roster.aspx?roster=1288&path=wsoc
Milwaukee,https://mkepanthers.com/roster.aspx?roster=158&path=
Minnesota,https://gophersports.com/roster.aspx?roster=492&path=wsoc
Mississippi State,https://hailstate.com/roster.aspx?path=wsoc
Mississippi Valley State,https://mvsusports.com/index.aspx?path=wsoc
Missouri,https://mutigers.com/roster.aspx?roster=254&path=wsoc
Missouri State,https://missouristatebears.com/roster.aspx?roster=197&path=wsoc
Monmouth,https://monmouthhawks.com/roster.aspx?roster=331&path=wsoc
Montana,https://gogriz.com/roster.aspx?roster=140&path=wsoc
Morehead State,https://msueagles.com/roster.aspx?roster=176&path=wsoc
Mount St. Mary's,http://www.mountathletics.com/sports/wsoc/2018-19/roster
Murray State,http://www.goracers.com/sports/2007/2/20/246898472.aspx?path=baseball
Navy,https://navysports.com/roster.aspx?roster=392&path=wsoc
NC State,https://gopack.com/roster.aspx?path=wsoc
Nebraska,http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=26&SPSID=41
Nevada,https://nevadawolfpack.com/roster.aspx?roster=109&path=wsoc
New Hampshire,https://unhwildcats.com/schedule.aspx?path=wsoc
New Mexico,https://golobos.com/index.aspx?path=wsoc
New Mexico State,https://nmstatesports.com/index.aspx?path=wsoc
Niagara,https://purpleeagles.com/index.aspx?path=wsoc
Nicholls,https://geauxcolonels.com/roster.aspx?roster=155&path=wsoc
NJIT,https://www.njithighlanders.com/roster.aspx?roster=266&path=wsoc
North Carolina,https://goheels.com/roster.aspx?roster=508&path=wsoc
North Dakota,https://fightinghawks.com/roster.aspx?roster=376&path=wsoccer
North Dakota State,https://gobison.com/index.aspx?path=wsoc
