Institution,Location,State,Type,Nickname,Conference,Url
Colorado,Boulder,Colorado,Public,Buffaloes,Pac-12,https://cubuffs.com/roster.aspx?roster=439&path=wsoc
Colorado College,Colorado Springs,Colorado,Private,Tigers,Mountain West,https://cctigers.com/roster.aspx?roster=213&path=wsoc
Colorado State,Fort Collins,Colorado,Public,Rams,Mountain West,https://csurams.com/roster.aspx?roster=150
Columbia,New York City,New York,Private,Lions,Ivy League,https://gocolumbialions.com/roster.aspx?roster=363&path=wsoc
Connecticut,Storrs,Connecticut,Public,Huskies,American,https://uconnhuskies.com/roster.aspx?roster=346&path=wsoc
Cornell,Ithaca,New York,Private,Big Red,Ivy League,https://cornellbigred.com/roster.aspx?path=wsoccer
Creighton,Omaha,Nebraska,Private,Bluejays,Big East,https://gocreighton.com/roster.aspx?path=wsoc
Dartmouth,Hanover,New Hampshire,Private,Big Green,Ivy League,https://dartmouthsports.com/roster.aspx?path=wsoc
Davidson,Davidson,North Carolina,Private,Wildcats,Atlantic 10,https://davidsonwildcats.com/roster.aspx?path=wsoc
Dayton,Dayton,Ohio,Private,Flyers,Atlantic 10,https://daytonflyers.com/roster.aspx?roster=287&path=wsoc
Delaware,Newark,Delaware,Private-public hybrid,Fightin' Blue Hens,CAA,https://bluehens.com/roster.aspx?roster=241&path=wsoc
Delaware State,Dover,Delaware,Public,Hornets,Independent,http://www.dsuhornets.com/SportSelect.dbml?DB_OEM_ID=12900&SPID=5799&SPSID=82317
Denver,Denver,Colorado,Private,Pioneers,Summit,https://denverpioneers.com/roster.aspx?roster=39&path=wsoc
DePaul,Chicago,Illinois,Private,Blue Demons,Big East,https://depaulbluedemons.com/roster.aspx?roster=87&path=wsoc
Detroit Mercy,Detroit,Michigan,Private,Titans,Horizon,https://detroittitans.com/roster.aspx?roster=252&path=wsoc
Drake,Des Moines,Iowa,Private,Bulldogs,Missouri Valley,https://godrakebulldogs.com/roster.aspx?path=wsoc
Drexel,Philadelphia,Pennsylvania,Private,Dragons,CAA,https://drexeldragons.com/roster.aspx?path=wsoc
Duke,Durham,North Carolina,Private,Blue Devils,ACC,http://www.goduke.com/SportSelect.dbml?DB_OEM_ID=4200&SPID=1842&SPSID=22660
Duquesne,Pittsburgh,Pennsylvania,Private,Dukes,Atlantic 10,https://goduquesne.com/roster.aspx?roster=142&path=wsoc
East Carolina,Greenville,North Carolina,Public,Pirates,American,https://ecupirates.com/roster.aspx?path=wsoc
East Tennessee State,Johnson City,Tennessee,Public,Buccaneers,Southern,http://www.etsubucs.com/wsoccer/roster/
Eastern Illinois,Charleston,Illinois,Public,Panthers,Ohio Valley,https://eiupanthers.com/roster.aspx?roster=245
Eastern Kentucky,Richmond,Kentucky,Public,Colonels,Ohio Valley,https://ekusports.com/roster.aspx?roster=290&path=wsoc
Eastern Michigan,Ypsilanti,Michigan,Public,Eagles,MAC,https://emueagles.com/roster.aspx?roster=313&path=
Eastern Washington,Cheney,Washington,Public,Eagles,Big Sky,https://goeags.com/roster.aspx?path=wsoc
Elon,Elon,North Carolina,Private,Phoenix,CAA,https://elonphoenix.com/roster.aspx?path=wsoc
Evansville,Evansville,Indiana,Private,Purple Aces,Missouri Valley,https://gopurpleaces.com/roster.aspx?roster=275&path=
Fairfield,Fairfield,Connecticut,Private,Stags,Metro Atlantic,https://fairfieldstags.com/roster.aspx?roster=169&path=wsoc
Fairleigh Dickinson,Madison,New Jersey,Private,Knights,Northeast,https://fduknights.com/roster.aspx?roster=266&path=wsoc
FIU,University Park,Florida,Public,Panthers,Conference USA,https://fiusports.com/roster.aspx?path=wsoc
Florida,Gainesville,Florida,Public,Gators,SEC,https://floridagators.com/roster.aspx?roster=450&path=soccer
Florida Atlantic,Boca Raton,Florida,Public,Owls,Conference USA,https://fausports.com/roster.aspx?roster=198&path=wsoc
Florida Gulf Coast,Fort Myers,Florida,Public,Eagles,ASUN,https://fgcuathletics.com/roster.aspx?roster=283
Florida State,Tallahassee,Florida,Public,Seminoles,ACC,https://seminoles.com/sports/soccer/roster
Fordham,New York City,New York,Private,Rams,Atlantic 10,https://fordhamsports.com/roster.aspx?roster=295&path=wsoc
Fresno State,Fresno,California,Public,Bulldogs,Mountain West,https://gobulldogs.com/roster.aspx?roster=235&path=wsoc
Furman,Greenville,South Carolina,Private,Paladins,Southern,http://www.furmanpaladins.com/sports/w-soccer/2018-19/roster
Gardner-Webb,Boilings Springs,North Carolina,Private,Runnin' Bulldogs,Big South,https://gwusports.com/roster.aspx?roster=220&path=wsoc
George Mason,Fairfax,Virginia,Public,Patriots,Atlantic 10,https://gomason.com/roster.aspx?roster=175&path=wsoc
George Washington,Washington,District of Columbia,Private,Colonials,Atlantic 10,https://gwsports.com/roster.aspx?roster=217&path=wsoc
Georgetown,Washington,District of Columbia,Private,Hoyas,Big East,https://guhoyas.com/roster.aspx?roster=296&path=wsoc
Georgia,Athens,Georgia,Public,Bulldogs,SEC,https://georgiadogs.com/roster.aspx?roster=1064&path=wsoc
Georgia Southern,Statesboro,Georgia,Public,Eagles,Sun Belt,https://gseagles.com/roster.aspx?roster=124&path=
Georgia State,Atlanta,Georgia,Public,Panthers,Sun Belt,http://www.georgiastatesports.com/SportSelect.dbml?DB_OEM_ID=12700&SPID=5657&SPSID=53542
Gonzaga,Spokane,Washington,Private,Bulldogs,West Coast,https://gozags.com/roster.aspx?roster=87&path=wsoc
Grambling State,Grambling,Louisiana,Public,Tigers,SWAC,https://gsutigers.com/roster.aspx?roster=190&path=wsoc
Grand Canyon,Phoenix,Arizona,Private,Antelopes,WAC,https://gculopes.com/roster.aspx?roster=261&path=wsoc
Green Bay,Green Bay,Wisconsin,Public,Phoenix,Horizon,https://greenbayphoenix.com/roster.aspx?roster=153&path=wsoc
Hampton,Hampton,Virginia,Private,Lady Pirates,Big South,https://hamptonpirates.com/roster.aspx?roster=195
Hartford,West Hartford,Connecticut,Private,Hawks,America East,https://www.hartfordhawks.com/roster.aspx?path=wsoc
Harvard,Cambridge,Massachusetts,Private,Crimson,Ivy League,https://www.gocrimson.com/sports/wsoc/2018-19/roster
Hawaii,Honolulu,Hawaii,Public,Rainbow Wahine,Big West,https://hawaiiathletics.com/roster.aspx?roster=647
High Point,High Point,North Carolina,Private,Panthers,Big South,https://highpointpanthers.com/roster.aspx?path=wsoc
Hofstra,Hempstead,New York,Private,Pride,CAA,https://gohofstra.com/roster.aspx?path=wsoc
Holy Cross,Worcester,Massachusetts,Private,Crusaders,Patriot,https://goholycross.com/SportSelect.dbml?DB_OEM_ID=33100&SPID=157214&SPSID=917339
Houston,Houston,Texas,Public,Cougars,American,https://uhcougars.com/roster.aspx?roster=88&path=wsoc
Houston Baptist,Houston,Texas,Private,Huskies,Southland,https://hbuhuskies.com/roster.aspx?roster=153&path=wsoc
Howard,Washington,District of Columbia,Private,Lady Bison,SWAC,https://hubison.com/roster.aspx?roster=225&path=wsoc
Idaho,Moscow,Idaho,Public,Vandals,Big Sky,https://govandals.com/roster.aspx?roster=177&path=wsoc
Idaho State,Pocatello,Idaho,Public,Bengals,Big Sky,https://isubengals.com/roster.aspx?path=wsoc
Illinois,Urbana & Champaign,Illinois,Public,Fighting Illini,Big Ten,https://illinoiscollegeathletics.com/roster.aspx?roster=176&path=wsoc
Illinois State,Normal,Illinois,Public,Redbirds,Missouri Valley,https://goredbirds.com/roster.aspx?roster=259&path=wsoc
Incarnate Word,San Antonio,Texas,Private,Cardinals,Southland,https://uiwcardinals.com/roster.aspx?roster=1227&path=wsoc
Indiana,Bloomington,Indiana,Public,Hoosiers,Big Ten,https://iuhoosiers.com/roster.aspx?roster=406&path=wsoc
Indiana State,Terre Haute,Indiana,Public,Sycamores,Missouri Valley,https://gosycamores.com/roster.aspx?roster=167&path=wsoc
Iona,New Rochelle,New York,Private,Gaels,Metro Atlantic,https://icgaels.com/roster.aspx?path=wsoc
Iowa,Iowa City,Iowa,Public,Hawkeyes,Big Ten,https://hawkeyesports.com/roster.aspx?roster=284&path=wsoc
Iowa State,Ames,Iowa,Public,Cyclones,Big 12,https://cyclones.com/roster.aspx?roster=573&path=wsoc
IUPUI,Indianapolis,Indiana,Public,Jaguars,Horizon,https://iupuijags.com/roster.aspx?roster=297&path=wsoc
Jackson State,Jackson,Mississippi,Public,Tigers,SWAC,https://gojsutigers.com/roster.aspx?roster=6&path=wsoc
Jacksonville,Jacksonville,Florida,Private,Dolphins,ASUN,http://judolphins.com/sports/wsoc/2018-19/roster
Jacksonville State,Jacksonville,Alabama,Public,Gamecocks,Ohio Valley,https://jsugamecocksports.com/roster.aspx?roster=196&path=wsoc
James Madison,Harrisonburg,Virginia,Public,Dukes,CAA,https://jmusports.com/roster.aspx?roster=1524&path=wsoc
Kansas,Lawrence,Kansas,Public,Jayhawks,Big 12,https://kuathletics.com/roster.aspx?roster=2556&path=wsoc
Kansas State,Manhattan,Kansas,Public,Wildcats,Big 12,https://www.kstatesports.com/roster.aspx?roster=1248&path=wsoc
Kennesaw State,Kennesaw & Marietta,Georgia,Public,Owls,ASUN,https://ksuowls.com/roster.aspx?roster=459&path=wsoc
Kent State,Kent,Ohio,Public,Golden Flashes,MAC,https://kentstatesports.com/roster.aspx?roster=411&path=wsoc
Kentucky,Lexington,Kentucky,Public,Wildcats,SEC,https://ukathletics.com/roster.aspx?roster=2137&path=wsoc
La Salle,Philadelphia,Pennsylvania,Private,Explorers,Atlantic 10,https://goexplorers.com/roster.aspx?roster=374&path=wsoc
Lafayette,Easton,Pennsylvania,Private,Leopards,Patriot,https://www.goleopards.com/roster.aspx?path=wsoc
Lamar,Beaumont,Texas,Public,Lady Cardinals,Southland,https://lamarcardinals.com/roster.aspx?path=wsoc
Lehigh,Bethlehem,Pennsylvania,Private,Mountain Hawks,Patriot,https://lehighsports.com/roster.aspx?roster=500&path=wsoc
Liberty,Lynchburg,Virginia,Private,Lady Flames,ASUN,https://hilltoppersports.com/roster.aspx?roster=191&path=wsoc
Lipscomb,Nashville,Tennessee,Private,Bisons,ASUN,http://www.lipscombsports.com/wsoccer/roster/
Little Rock,Little Rock,Arkansas,Public,Trojans,Sun Belt,https://lrtrojans.com/roster.aspx?path=wsoc
Long Beach State,Long Beach,California,Public,49ers,Big West,https://longbeachstate.com/roster.aspx?path=wsoc
Longwood,Farmville,Virginia,Public,Lancers,Big South,https://longwoodlancers.com/roster.aspx?roster=188&path=wsoc
Louisiana,Lafayette,Louisiana,Public,Ragin' Cajuns,Sun Belt,https://ragincajuns.com/roster.aspx?roster=275&path=wsoc
Louisiana Tech,Ruston,Louisiana,Public,Lady Techsters,Conference USA,https://latechsports.com/roster.aspx?roster=77&path=wsoc
Louisiana-Monroe,Monroe,Louisiana,Public,Warhawks,Sun Belt,https://ulmwarhawks.com/roster.aspx?roster=155&path=wsoc
Louisville,Louisville,Kentucky,Public,Cardinals,ACC,https://gocards.com/roster.aspx?roster=284&path=wsoc
Loyola Chicago,Chicago,Illinois,Private,Ramblers,Missouri Valley,https://loyolaramblers.com/roster.aspx?roster=47&path=wsoc
Loyola Maryland,Baltimore,Maryland,Private,Greyhounds,Patriot,https://loyolagreyhounds.com/roster.aspx?roster=151&path=wsoc
Loyola Marymount,Los Angeles,California,Private,Lions,West Coast,https://lmulions.com/roster.aspx?roster=275&path=wsoc
LSU,Baton Rouge,Louisiana,Public,Tigers,SEC,http://www.lsusports.net/SportSelect.dbml?DB_OEM_ID=5200&SPID=2168&SPSID=27839
Maine,Orono,Maine,Public,Black Bears,America East,https://goblackbears.com/roster.aspx?roster=154&path=wsoc
Manhattan,Riverdale,New York,Private,Lady Jaspers,Metro Atlantic,https://gojaspers.com/roster.aspx?roster=265
Marist,Poughkeepsie,New York,Private,Red Foxes,Metro Atlantic,https://goredfoxes.com/roster.aspx?roster=309&path=wsoc
Marquette,Milwaukee,Wisconsin,Private,Golden Eagles,Big East,https://gomarquette.com/roster.aspx?roster=126&path=wsoc
Marshall,Huntington,West Virginia,Public,Thundering Herd,Conference USA,https://herdzone.com/roster.aspx?roster=178&path=wsoc
Maryland,College Park,Maryland,Public,Terrapins,Big Ten,https://umterps.com/roster.aspx?roster=199&path=wsoc
McNeese State,Lake Charles,Louisiana,Public,Cowgirls,Southland,https://mcneesesports.com/roster.aspx?path=wsoc
Memphis,Memphis,Tennessee,Public,Tigers,American,https://gotigersgo.com/roster.aspx?path=wsoc
Mercer,Macon,Georiga,Private,Bears,Southern,https://mercerbears.com/roster.aspx?roster=153&path=wsoc
Miami (FL),Coral Gables,Florida,Public,Hurricanes,ACC,https://hurricanesports.com/roster.aspx?roster=362&path=wsoc
Miami (OH),Oxford,Ohio,Public,RedHawks,MAC,https://miamiredhawks.com/roster.aspx?roster=104&path=wsoc
Michigan,Ann Arbor,Michigan,Public,Wolverines,Big Ten,https://mgoblue.com/roster.aspx?roster=3584&path=wsoc
Michigan State,East Lansing,Michigan,Public,Spartans,Big Ten,https://msuspartans.com/roster.aspx?roster=204&path=wsoc
Middle Tennessee,Murfreesboro,Tennessee,Public,Blue Raiders,Conference USA,https://goblueraiders.com/roster.aspx?roster=1288
Milwaukee,Milwaukee,Wisconsin,Public,Panthers,Horizon,https://mkepanthers.com/roster.aspx?path=wsoc
Minnesota,Minneapolis & Saint Paul,Minnesota,Public,Golden Gophers,Big Ten,https://gophersports.com/roster.aspx?roster=492&path=wsoc
